Ticker,Description,Last,Market Capitalization,Sector,1-Year Beta,Basic EPS (TTM),Country,Total Current Assets (MRQ),Total Liabilities (MRQ),Total Shares Outstanding (MRQ)
GAZP,GAZPROM,297.88,110844709814.84203,Energy Minerals,0.6288503,1.09954405,Russian Federation,69627996152,135240126940,23644500000
ROSN,ROSNEFT OIL CO,378.35,57015525763.40728,Energy Minerals,0.69657683,1.2332261,Russian Federation,46902380000,132255424000,9500200000
GMKN,MMC NORILSK NICKEL,20054,46521583871.6338,Non-Energy Minerals,0.20062293,41.3423304,Russian Federation,9822455469.751314,18557176002.47752,148272921
NVTK,NOVATEK,916.2,44699252576.1546,Energy Minerals,0.37088862,,Russian Federation,7591896528,7246915260,3036310000
LKOH,OIL CO LUKOIL,4092,42913996465.9453,Energy Minerals,0.55484396,15.730501,Russian Federation,28515015076,32035015476,650344000
SBER,SBERBANK OF RUSSIA,118.29,42141125730.03665,Finance,0.9461301,0.72755609,Russian Federation,91671265600,473282828000,22478100000
SIBN,GAZPROM NEFT,417.4,31049902467.384132,Energy Minerals,0.4854236,1.41579246,Russian Federation,16127718380,32138811040,4741300000
PLZL,POLYUS,11343,24827898372.533188,Non-Energy Minerals,0.20848471,16.4070403,Russian Federation,2199250608,4446889612,135005000
SNGS,SURGUTNEFTEGAS PJS,22,17081981509.771692,Energy Minerals,0.586936,,Russian Federation,24585311900.697704,11856209883.96207,35725350000
RUAL,UNITED COMPANY RU,59.72,14869980590.338633,Non-Energy Minerals,0.371387,0.20799978,Russian Federation,8395363155.301114,10595712602.476406,15193000000
PHOR,PHOSAGRO,7084,14398249004.999998,Process Industries,0.13748145,13.28818328,Russian Federation,1684810444,3222147068,129500000
TATN,TATNEFT,386.2,13649731532.101873,Energy Minerals,0.36784264,1.16960604,Russian Federation,5469626856,7095593720,2250562265
NLMK,NOVOLIPETSK STEEL,142.5,13592216137.147648,Non-Energy Minerals,0.29864684,0.82090708,Russian Federation,5353088953.575716,5691451148.075756,5993230000
CHMF,SEVERSTAL,975,13118512712.03403,Non-Energy Minerals,0.390289,4.7710786,Russian Federation,3173638347.8254247,4515144930.725597,837719000
VSMO,VSMPO-AVISMA CORPO,58980,10529708135.3781,Non-Energy Minerals,0.24112813,,Russian Federation,1519659688.6947546,1925160340.9546676,11529500
AKRN,ACRON,16462,9682081582.553518,Process Industries,0.58826876,21.46835021,Russian Federation,806144036,1740796238,36757156
ALRS,ALROSA,72.93,8436549375.423839,Non-Energy Minerals,0.34750667,0.16735459,Russian Federation,2220731500,2626055632,7364970000
MGNT,MAGNIT,4650,7341069230.235479,Retail Trade,0.81100565,6.52335815,Russian Federation,4247061922.5,13953402695.904001,101911000
MTSS,MOBILE TELESYSTEMS,252.55,6607559313.465839,Communications,0.6232253,0.3667,Russian Federation,3210153600.0000005,12282610944.000002,1662622543
MAGN,MAGNITOGORSK IRON & STEEL,36.055,6434914104.053519,Non-Energy Minerals,0.47897148,0.27274762,Russian Federation,4216590053.225558,3423429262.000451,11174300000
ENPG,EN+ GROUP INT.PJSC,617,6297460790.178704,Energy Minerals,0.76439416,5.40914866,Russian Federation,8482144383.406168,16246054394.957254,502337774
PIKK,PIK SHB,538.3,5695587962.955074,Consumer Durables,0.9106823,,Russian Federation,8869762927.818851,8043138129.896227,660497000
HYDR,RUSHYDRO,0.7962,5425630622.931839,Utilities,0.28961,0.00126709,Russian Federation,2296306028,4112549280,435436740676
UNAC,UNITED AIRCRAFT CO,0.574,4712933277.20175,Electronic Technology,1.1223031,,Russian Federation,11680024420.392122,16056366754.866625,520485059111
IRAO,INTER RAO UES,3.162,3732374834.2623744,Utilities,0.74714273,0.01782307,Russian Federation,6482725629,3656601570,73714907000
VTBR,VTB BANK,0.01815,3695717228.230319,Finance,1.079307,0.00031843,Russian Federation,33980674800,252504634800,12959948586031
RASP,RASPADSKAYA,334.8,3592327053.3324594,Energy Minerals,0.6679248,,Russian Federation,518000354.53379095,1099000752.1865559,682859000
MOEX,MOSCOW EXCHANGE,87.85,3164967289.5422697,Finance,0.56794935,0.16510965,Russian Federation,,79651350536.40001,2276400000
RTKM,ROSTELECOM,58.19,3076878009.4609947,Communications,0.23976727,0.11295579,Russian Federation,2214827240,11102118412,3351625253
CBOM,CREDBK OF MOSCOW,5.438,2917090437.8127894,Finance,0.46384594,,Russian Federation,24681820690,41969171288,33429699999.999996
ROSB,ROSBANK,106.2,2727345918.8731346,Finance,-0.3443968,0.15562868,Russian Federation,3920376439,17091832840,1551401853
BANE,BASHNEFT,1030,2652777611.1703496,Energy Minerals,0.3806965,6.5551496,Russian Federation,4546041376,4782503672,169797697
SMLT,SAMOLET GROUP,2238,2234214984.891615,Finance,0.8244456,,Russian Federation,,1584768752.3013892,61579400
MGTS,MOSCOW CITY TELEPH,1630,2212769514.4361095,Communications,0.25909242,2.30657148,Russian Federation,457202012,405178184,79708800
NKNC,NIZHNEKAMSKNEFTEK,77.95,2211722576.4761095,Process Industries,0.46517348,,Russian Federation,1010831758.0081502,1838606395.0217445,1830244000
SGZH,SEGEZHA GROUP,8.984,2200513222.47876,Process Industries,0.5617014,,Russian Federation,657007256.3059776,1089853751.418477,15690000000
RSTI,ROSSETI,0.65,2097717574.6540496,Utilities,0.6011712,0.00401125,Russian Federation,4611214076,15330911790,198825000000
FEES,FSK EES,0.09514,1986168607.8077695,Utilities,0.48302794,0.00060457,Russian Federation,1906017106,5434562907,1274670000000
KZOS,ORGANICHESKY SINTE,67.7,1920205698.0576448,Producer Manufacturing,0.40980318,,Russian Federation,269144478.65063643,128617715.46136609,1785110000
AFKS,SISTEMA PJSFC,12.746,1888961859.1796997,Communications,0.61140746,0.02384658,Russian Federation,5215013936,19082714268,9506184291
GCHE,CHERKIZOVO GROUP,2867,1835350215.0054448,Process Industries,0.34695634,5.46209461,Russian Federation,966162492,1519212536,41047000
NMTP,NOVOROSSIYSK COMMERCIAL SEA PORT,5.67,1764965757.8587048,Transportation,0.590445,0.01312911,Russian Federation,380637408.18924505,945961384.38347,19259800000
KAZT,KUIBYSHEVAZOT,410.2,1510037467.985535,Process Industries,0.8720301,,Russian Federation,221282130.32215497,497712412.99868584,237844510
FESH,FAR-EASTERN SHIPPI,32.27,1482426282.1321647,Transportation,0.7218348,,Russian Federation,376216399.71692055,701196517.0826392,2951250000
APTK,PHARMACY CHAIN 36,12.436,1480082254.3850698,Retail Trade,0.13286734,,Russian Federation,145618907.73499495,567199197.302806,7630430000
YAKG,YAKUTSK FUEL & ENE,113.95,1478845033.8455849,Energy Minerals,0.19428775,,Russian Federation,148397685.5381726,224341819.7846242,826919000
FLOT,PAO SOVCOMFLOT,39.2,1455031392.7792199,Transportation,0.7242827,,Russian Federation,1221018835.6991117,3768746579.434552,2374990000
MTLR,MECHEL,128.79,1325499015.6374848,Non-Energy Minerals,0.79054457,2.64097284,Russian Federation,1524984116,5105632544,416271000
LSNG,ROSSETI LENENERGO,7.63,1257543832.7435548,Utilities,0.51156026,0.02395405,Russian Federation,228077808.956,1066401767.62,8617054300
UPRO,UNIPRO,1.24,1228267623.851565,Utilities,0.52080643,-0.0006986,Russian Federation,231158235.168,146664407.712,63048700000
MSNG,MOSENERGO,1.886,1147921902.054525,Utilities,0.30565125,0.00200436,Russian Federation,1235549472.0000002,781336512.0000001,39749400000
KMAZ,KAMAZ PTC,99.5,1101115058.25591,Producer Manufacturing,0.64530665,,Russian Federation,1747686975.4714682,2764500634.464784,680907000
AVAN,AVANGARD JSB,870,1100495770.8880498,Finance,-0.17567867,,Russian Federation,1307335785.864551,1456189923.80118,80700000
AFLT,AEROFLOT,28.14,1067544350.09247,Transportation,1.1561831,-0.18880762,Russian Federation,2525484192,18723085128,2396722203.99999
IRGZ,IRKUTSKENERGO,14.02,1041555601.9353749,Utilities,0.08444813,,Russian Federation,652246215.747035,3054199047.10915,4766810000
OGKB,OGK-2,0.5798,1018965606.031905,Utilities,0.4814636,0.00053337,Russian Federation,540790412,893440584,110441000000
RGSS,ROSGOSSTRAKH INS,0.1312,982604409.571935,Finance,0.5303197,,Russian Federation,950002433.6031928,1844124186.770933,489504000000
SFIN,SFI,515.4,908214702.1352398,Finance,0.09375741,,Russian Federation,,1701493586.2249277,111638000
TRMK,TMK PAO,54.98,898458935.4817349,Non-Energy Minerals,0.49384066,0.08956298,Russian Federation,4623128456,8553561168,1033140000.0000002
UTAR,UTAIR AVIATION,7.06,862658236.0915649,Transportation,0.45299375,,Russian Federation,270907663.2460592,1678932332.5998113,7896120000
